Qty,Part Name,Price (CAD),Shipping,Link
1,16V 1000uf Capacitor,$5.21,--,https://www.aliexpress.com/item/1005005920255833.html?algo_pvid=c31e4730-410f-4e63-b8b7-4990a8c49348&algo_exp_id=c31e4730-410f-4e63-b8b7-4990a8c49348-4&pdp_ext_f=%7B%22order%22%3A%22844%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.52%213.44%21%21%212.50%212.44%21%402101df0e17763031137274773e03d3%2112000034856618059%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29912%3Bd%3Ab879ef14%3Bm03_new_user%3A-29895&curPageLogUid=eVIktV37r9gq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005920255833%7C_p_origin_prod%3A
13,Pin Header 2.54 mm Pitch Vertical,$3.60,--,https://www.aliexpress.com/item/1005005241876888.html?algo_pvid=0c9743ef-347d-4d41-be69-9d11cda8b824&algo_exp_id=0c9743ef-347d-4d41-be69-9d11cda8b824-4&pdp_ext_f=%7B%22order%22%3A%221965%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%210.38%210.38%21%21%210.27%210.27%21%402101e81117765254836698338ea69b%2112000032334538027%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29912%3Bd%3Ab879ef14%3Bm03_new_user%3A-29895&curPageLogUid=Aj35UNej6cp6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005241876888%7C_p_origin_prod%3A
2,Pin Header 2.0 mm Pitch Vertical,$0.75,$7.59,https://www.aliexpress.com/item/1005009312765794.html?spm=a2g0o.productlist.main.1.33d566326ezldM&algo_pvid=289089aa-9a6b-4a2c-98b1-a3c5ba40034f&algo_exp_id=289089aa-9a6b-4a2c-98b1-a3c5ba40034f-0&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%210.75%210.71%21%21%213.67%213.49%21%402101d49617767193351852642ea691%2112000048711081666%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aa124573a%3Bm03_new_user%3A-29895&curPageLogUid=4RsGl9YfAJN6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009312765794%7C_p_origin_prod%3A
2,Screw Terminal 5.08mm Pitch,$3.71,$6.64,https://www.aliexpress.com/item/1005008305755665.html?spm=a2g0o.productlist.main.46.6cee78ff1likD7&algo_pvid=22d6416f-d362-4eb5-bbe1-d15d64683c5c&algo_exp_id=22d6416f-d362-4eb5-bbe1-d15d64683c5c-45&pdp_ext_f=%7B%22order%22%3A%22502%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.57%213.50%21%21%2117.30%2116.95%21%40210319b017763728568552166e248e%2112000044559117837%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7dc26fc4%3Bm03_new_user%3A-29895&curPageLogUid=pvGs9VTbT28r&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008305755665%7C_p_origin_prod%3A
1,TO-92 Mosfet ,$3.53,--,https://www.aliexpress.com/item/32966284825.html?spm=a2g0o.productlist.main.6.6751GCudGCudr7&algo_pvid=418d2373-77d4-44f5-bd22-de10f0433e10&algo_exp_id=418d2373-77d4-44f5-bd22-de10f0433e10-5&pdp_ext_f=%7B%22order%22%3A%2250%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.53%211.60%21%21%212.52%211.14%21%40210319b717765335839358259e4bae%2166539035658%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7dc26fc4%3Bm03_new_user%3A-29895%3BpisId%3A5000000203549950&curPageLogUid=V1YsM17IT08L&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32966284825%7C_p_origin_prod%3A
1,T-Blade Adapter Female,$4.94,--,https://www.aliexpress.com/item/1005009579735259.html
1 (Optional),Focusable 450nm 50mw Laser Module,$12.11,$9.69,https://www.aliexpress.com/item/1005010403717946.html
1,22AWG Wire 1 meter,$2.45,--,https://www.aliexpress.com/item/1005008563402600.html
1,Gy-521 Module,$3.14,--,https://www.aliexpress.com/item/1005008796700745.html?algo_pvid=91cab85b-58a1-4de0-a848-bf5c8a161e93&algo_exp_id=91cab85b-58a1-4de0-a848-bf5c8a161e93-0&pdp_ext_f=%7B%22order%22%3A%22365%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.14%213.14%21%21%2115.28%2115.28%21%402103128817766327867534639e83e5%2112000046702043861%21sea%21CA%217519964077%21X%211%210%21n_tag%3A-29912%3Bd%3Ab879ef14%3Bm03_new_user%3A-29895&curPageLogUid=8ee2Z7oAXeiP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008796700745%7C_p_origin_prod%3A
1,7.4V Li-ion Battery 2000mAh,$29.49,--,https://www.amazon.ca/dp/B0CHMFN7KN?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
